,filename,solvable,time_elapsed,max_depth,backtracks,pure_literals,solved_literals,n_steps,pos_lit_chosen,neg_lit_chosen
0,9by9_cnf/9by9_1.cnf,True,0.11108570000214968,18,13,0,1000,32,0,18
1,9by9_cnf/9by9_2.cnf,True,0.08029830000305083,0,0,0,729,1,0,0
2,9by9_cnf/9by9_3.cnf,True,0.3064347000035923,56,25,0,1673,82,0,56
3,9by9_cnf/9by9_4.cnf,True,0.07677020000119228,0,0,0,729,1,0,0
4,9by9_cnf/9by9_5.cnf,True,0.14022619999741437,0,0,0,729,1,0,0
5,9by9_cnf/9by9_6.cnf,True,0.3797137000001385,54,65,0,3014,141,0,75
6,9by9_cnf/9by9_7.cnf,True,0.11209490000328515,0,0,0,729,1,0,0
7,9by9_cnf/9by9_8.cnf,True,0.09287749999930384,0,0,0,729,1,0,0
8,9by9_cnf/9by9_9.cnf,True,0.10382480000407668,0,0,0,729,1,0,0
9,9by9_cnf/9by9_10.cnf,True,0.26531750000140164,21,18,0,1426,56,0,37
10,9by9_cnf/9by9_11.cnf,True,7.102786299998115,92,1729,0,55953,3469,0,1739
11,9by9_cnf/9by9_12.cnf,True,0.1062307999964105,0,0,0,729,1,0,0
12,9by9_cnf/9by9_13.cnf,True,0.21176930000365246,27,10,0,911,38,0,27
13,9by9_cnf/9by9_14.cnf,True,0.27887080000073183,49,40,0,1834,95,0,54
14,9by9_cnf/9by9_15.cnf,True,0.13225450000027195,24,1,0,752,26,0,24
15,9by9_cnf/9by9_16.cnf,True,0.4786729999977979,70,90,0,3417,197,0,106
16,9by9_cnf/9by9_17.cnf,True,0.085409699997399,0,0,0,729,1,0,0
17,9by9_cnf/9by9_18.cnf,True,0.10314239999570418,0,0,0,729,1,0,0
18,9by9_cnf/9by9_19.cnf,True,0.08283579999988433,0,0,0,729,1,0,0
19,9by9_cnf/9by9_20.cnf,True,0.07343879999825731,0,0,0,729,1,0,0
20,9by9_cnf/9by9_21.cnf,True,0.09053490000223974,0,0,0,729,1,0,0
21,9by9_cnf/9by9_22.cnf,True,0.1464752000028966,21,17,0,1118,39,0,21
