,filename,solvable,time_elapsed,max_depth,backtracks,pure_literals,solved_literals,n_steps,pos_lit_chosen,neg_lit_chosen
0,9by9_cnf/9by9_1.cnf,True,0.14987680000194814,17,12,0,965,30,0,17
1,9by9_cnf/9by9_2.cnf,True,0.07330840000213357,0,0,0,729,1,0,0
2,9by9_cnf/9by9_3.cnf,True,0.5389293000043835,59,86,0,3325,193,0,106
3,9by9_cnf/9by9_4.cnf,True,0.09789689999888651,0,0,0,729,1,0,0
4,9by9_cnf/9by9_5.cnf,True,0.11887759999808623,0,0,0,729,1,0,0
5,9by9_cnf/9by9_6.cnf,True,0.43109529999492224,54,64,0,2908,140,0,75
6,9by9_cnf/9by9_7.cnf,True,0.11362249999365304,0,0,0,729,1,0,0
7,9by9_cnf/9by9_8.cnf,True,0.10660790000110865,0,0,0,729,1,0,0
8,9by9_cnf/9by9_9.cnf,True,0.10310510000272188,0,0,0,729,1,0,0
9,9by9_cnf/9by9_10.cnf,True,0.9182886999988114,69,170,0,5698,373,1,201
10,9by9_cnf/9by9_11.cnf,True,6.12567190000118,92,1411,0,44916,2834,0,1422
11,9by9_cnf/9by9_12.cnf,True,0.08956629999738652,0,0,0,729,1,0,0
12,9by9_cnf/9by9_13.cnf,True,0.1574306999973487,29,13,0,1062,43,0,29
13,9by9_cnf/9by9_14.cnf,True,0.26039099999616155,33,27,0,1578,69,0,41
14,9by9_cnf/9by9_15.cnf,True,0.15803109999978915,24,0,0,729,25,0,24
15,9by9_cnf/9by9_16.cnf,True,0.6032030999995186,70,90,0,3244,197,0,106
16,9by9_cnf/9by9_17.cnf,True,0.0663185999947018,0,0,0,729,1,0,0
17,9by9_cnf/9by9_18.cnf,True,0.12420570000540465,0,0,0,729,1,0,0
18,9by9_cnf/9by9_19.cnf,True,0.10717740000109188,0,0,0,729,1,0,0
19,9by9_cnf/9by9_20.cnf,True,0.10713440000108676,0,0,0,729,1,0,0
20,9by9_cnf/9by9_21.cnf,True,0.10170270000526216,0,0,0,729,1,0,0
21,9by9_cnf/9by9_22.cnf,True,0.14523639999970328,24,20,0,1210,45,0,24
22,9by9_cnf/9by9_23.cnf,True,0.6404566999990493,58,133,0,5102,288,0,154
23,9by9_cnf/9by9_24.cnf,True,0.10060969999904046,0,0,0,729,1,0,0
24,9by9_cnf/9by9_25.cnf,True,0.19611969999823486,23,16,0,1072,40,0,23
25,9by9_cnf/9by9_26.cnf,True,0.8543353999993997,46,264,0,9247,535,0,270
26,9by9_cnf/9by9_27.cnf,True,0.18519499999820255,31,21,0,1381,53,0,31
27,9by9_cnf/9by9_28.cnf,True,0.742881900005159,92,72,0,2935,190,0,117
28,9by9_cnf/9by9_29.cnf,True,0.08408259999850998,0,0,0,729,1,0,0
29,9by9_cnf/9by9_30.cnf,True,0.06918420000147307,0,0,0,729,1,0,0
30,9by9_cnf/9by9_31.cnf,True,0.11134600000514183,22,14,0,1014,37,1,21
31,9by9_cnf/9by9_32.cnf,True,0.08897389999765437,0,0,0,729,1,0,0
32,9by9_cnf/9by9_33.cnf,True,0.14944739999918966,21,16,0,1288,38,0,21
33,9by9_cnf/9by9_34.cnf,True,0.08556769999995595,0,0,0,729,1,0,0
34,9by9_cnf/9by9_35.cnf,True,1.1856670999986818,75,266,0,9628,535,0,268
35,9by9_cnf/9by9_36.cnf,True,4.010617500003718,87,770,0,27013,1557,0,786
36,9by9_cnf/9by9_37.cnf,True,0.10195050000038464,7,4,0,794,12,0,7
37,9by9_cnf/9by9_38.cnf,True,0.31672100000287173,43,84,0,2746,176,0,91
38,9by9_cnf/9by9_39.cnf,True,0.06996280000021216,0,0,0,729,1,0,0
39,9by9_cnf/9by9_40.cnf,True,0.19983869999850867,30,29,0,1655,60,0,30
40,9by9_cnf/9by9_41.cnf,True,12.267654399998719,94,2815,0,84844,5652,0,2836
41,9by9_cnf/9by9_42.cnf,True,0.10689999999885913,0,0,0,729,1,0,0
42,9by9_cnf/9by9_43.cnf,True,0.08591099999466678,0,0,0,729,1,0,0
43,9by9_cnf/9by9_44.cnf,True,0.19391700000414858,38,28,0,1587,67,0,38
44,9by9_cnf/9by9_45.cnf,True,0.49485360000107903,49,96,0,3541,214,0,117
45,9by9_cnf/9by9_46.cnf,True,1.243592400001944,75,258,0,7203,534,0,275
46,9by9_cnf/9by9_47.cnf,True,0.09431640000548214,0,0,0,729,1,0,0
47,9by9_cnf/9by9_48.cnf,True,0.086934700004349,0,0,0,729,1,0,0
48,9by9_cnf/9by9_49.cnf,True,1.8575414000006276,72,410,0,14963,836,0,425
49,9by9_cnf/9by9_50.cnf,True,0.534643099999812,64,98,0,3310,213,0,114
50,9by9_cnf/9by9_51.cnf,True,0.07727650000015274,0,0,0,729,1,0,0
51,9by9_cnf/9by9_52.cnf,True,0.10804689999349648,0,0,0,729,1,0,0
52,9by9_cnf/9by9_53.cnf,True,0.21745230000669835,34,25,0,1585,60,0,34
53,9by9_cnf/9by9_54.cnf,True,0.08400100000289967,0,0,0,729,1,0,0
54,9by9_cnf/9by9_55.cnf,True,0.4427097000007052,69,81,0,3185,177,0,95
55,9by9_cnf/9by9_56.cnf,True,0.3956564000036451,68,27,0,1374,96,0,68
56,9by9_cnf/9by9_57.cnf,True,0.07787629999802448,0,0,0,729,1,0,0
57,9by9_cnf/9by9_58.cnf,True,0.09786570000142092,0,0,0,729,1,0,0
58,9by9_cnf/9by9_59.cnf,True,0.5363981000045897,74,58,0,2482,167,0,108
59,9by9_cnf/9by9_60.cnf,True,1.4176810999997542,96,277,0,7422,572,0,294
60,9by9_cnf/9by9_61.cnf,True,3.679035900000599,81,857,0,27637,1718,0,860
61,9by9_cnf/9by9_62.cnf,True,0.10203870000259485,0,0,0,729,1,0,0
62,9by9_cnf/9by9_63.cnf,True,0.12016890000086278,18,10,0,970,29,0,18
63,9by9_cnf/9by9_64.cnf,True,0.06960200000321493,0,0,0,729,1,0,0
64,9by9_cnf/9by9_65.cnf,True,0.08324020000145538,0,0,0,729,1,0,0
65,9by9_cnf/9by9_66.cnf,True,0.3878153000041493,52,44,0,2422,122,0,77
66,9by9_cnf/9by9_67.cnf,True,0.10034340000129305,0,0,0,729,1,0,0
67,9by9_cnf/9by9_68.cnf,True,0.6907604000007268,54,141,0,4949,308,0,166
68,9by9_cnf/9by9_69.cnf,True,0.07622709999850485,0,0,0,729,1,0,0
69,9by9_cnf/9by9_70.cnf,True,0.0842659999980242,0,0,0,729,1,0,0
70,9by9_cnf/9by9_71.cnf,True,1.5804510000016307,93,322,0,8826,675,0,352
71,9by9_cnf/9by9_72.cnf,True,0.25035570000181906,47,37,0,1657,93,0,55
72,9by9_cnf/9by9_73.cnf,True,0.22125879999657627,42,31,0,1744,83,0,51
73,9by9_cnf/9by9_74.cnf,True,3.273321599997871,71,873,0,27082,1763,0,889
74,9by9_cnf/9by9_75.cnf,True,0.08799120000185212,0,0,0,729,1,0,0
75,9by9_cnf/9by9_76.cnf,True,0.08040079999773297,0,0,0,729,1,0,0
76,9by9_cnf/9by9_77.cnf,True,0.08973299999342998,0,0,0,729,1,0,0
77,9by9_cnf/9by9_78.cnf,True,0.0772754999998142,0,0,0,729,1,0,0
78,9by9_cnf/9by9_79.cnf,True,0.6597098999991431,66,122,0,3966,275,0,152
79,9by9_cnf/9by9_80.cnf,True,0.11225099999865051,25,10,0,992,36,1,24
80,9by9_cnf/9by9_81.cnf,True,0.9571656999978586,74,172,0,6827,369,0,196
81,9by9_cnf/9by9_82.cnf,True,0.9260674999968614,67,195,0,6650,426,0,230
82,9by9_cnf/9by9_83.cnf,True,0.09125060000224039,0,0,0,729,1,0,0
83,9by9_cnf/9by9_84.cnf,True,0.7411907999994582,65,152,0,5052,326,0,173
84,9by9_cnf/9by9_85.cnf,True,0.07394780000322498,0,0,0,729,1,0,0
85,9by9_cnf/9by9_86.cnf,True,0.1078401999984635,21,16,0,1158,38,0,21
86,9by9_cnf/9by9_87.cnf,True,0.0948463000022457,11,11,0,995,23,0,11
87,9by9_cnf/9by9_88.cnf,True,0.08786780000082217,0,0,0,729,1,0,0
88,9by9_cnf/9by9_89.cnf,True,0.10312030000204686,10,0,0,729,11,0,10
89,9by9_cnf/9by9_90.cnf,True,0.17339840000204276,30,9,0,998,40,0,30
90,9by9_cnf/9by9_91.cnf,True,0.39310899999691173,47,92,0,3683,203,0,110
91,9by9_cnf/9by9_92.cnf,True,0.3024044999983744,53,45,0,2339,99,0,53
92,9by9_cnf/9by9_93.cnf,True,0.8279545000041253,75,149,0,4154,306,0,156
93,9by9_cnf/9by9_94.cnf,True,0.0691374999951222,0,0,0,729,1,0,0
94,9by9_cnf/9by9_95.cnf,True,0.09676520000357414,0,0,0,729,1,0,0
95,9by9_cnf/9by9_96.cnf,True,0.6683761999956914,54,154,0,6099,312,0,157
96,9by9_cnf/9by9_97.cnf,True,0.11064340000302764,18,9,0,1010,28,0,18
