,filename,solvable,time_elapsed,max_depth,backtracks,pure_literals,solved_literals,n_steps,pos_lit_chosen,neg_lit_chosen
0,9by9_cnf/9by9_1.cnf,True,0.13505389999772888,2,2,0,825,5,2,0
1,9by9_cnf/9by9_2.cnf,True,0.1248252000004868,0,0,0,729,1,0,0
2,9by9_cnf/9by9_3.cnf,True,0.21121280000079423,6,6,0,972,16,9,0
3,9by9_cnf/9by9_4.cnf,True,0.12239479999698233,0,0,0,729,1,0,0
4,9by9_cnf/9by9_5.cnf,True,0.14039990000310354,0,0,0,729,1,0,0
5,9by9_cnf/9by9_6.cnf,True,0.16533189999609021,4,1,0,758,6,4,0
6,9by9_cnf/9by9_7.cnf,True,0.12649689999670954,0,0,0,729,1,0,0
7,9by9_cnf/9by9_8.cnf,True,0.1154205999991973,0,0,0,729,1,0,0
8,9by9_cnf/9by9_9.cnf,True,0.14155230000324082,0,0,0,729,1,0,0
9,9by9_cnf/9by9_10.cnf,True,0.19280129999970086,6,9,0,1195,20,10,0
10,9by9_cnf/9by9_11.cnf,True,0.2070672999980161,4,4,0,853,10,5,0
11,9by9_cnf/9by9_12.cnf,True,0.10788339999999152,0,0,0,729,1,0,0
12,9by9_cnf/9by9_13.cnf,True,0.13857219999772497,1,1,0,784,3,1,0
13,9by9_cnf/9by9_14.cnf,True,0.12469740000233287,1,0,0,729,2,1,0
14,9by9_cnf/9by9_15.cnf,True,0.14319000000250526,2,2,0,781,5,2,0
15,9by9_cnf/9by9_16.cnf,True,0.20415150000189897,7,7,0,1010,18,10,0
16,9by9_cnf/9by9_17.cnf,True,0.12891630000376608,0,0,0,729,1,0,0
17,9by9_cnf/9by9_18.cnf,True,0.12707229999796255,0,0,0,729,1,0,0
18,9by9_cnf/9by9_19.cnf,True,0.10626259999844478,0,0,0,729,1,0,0
19,9by9_cnf/9by9_20.cnf,True,0.1257947999984026,0,0,0,729,1,0,0
20,9by9_cnf/9by9_21.cnf,True,0.11360930000228109,0,0,0,729,1,0,0
21,9by9_cnf/9by9_22.cnf,True,0.12592639999638777,2,1,0,768,4,2,0
22,9by9_cnf/9by9_23.cnf,True,0.1992709999976796,3,3,0,854,9,5,0
23,9by9_cnf/9by9_24.cnf,True,0.11424940000142669,0,0,0,729,1,0,0
24,9by9_cnf/9by9_25.cnf,True,0.13080810000246856,6,4,0,871,12,7,0
25,9by9_cnf/9by9_26.cnf,True,0.14227729999402072,4,4,0,827,10,5,0
26,9by9_cnf/9by9_27.cnf,True,0.12552619999769377,1,1,0,780,3,1,0
27,9by9_cnf/9by9_28.cnf,True,0.16957859999820357,3,2,0,929,6,3,0
28,9by9_cnf/9by9_29.cnf,True,0.12084269999468233,0,0,0,729,1,0,0
29,9by9_cnf/9by9_30.cnf,True,0.10169909999967786,0,0,0,729,1,0,0
30,9by9_cnf/9by9_31.cnf,True,0.12177630000223871,1,1,0,779,3,1,0
31,9by9_cnf/9by9_32.cnf,True,0.11194609999802196,0,0,0,729,1,0,0
32,9by9_cnf/9by9_33.cnf,True,0.11849819999770261,2,0,0,729,3,2,0
33,9by9_cnf/9by9_34.cnf,True,0.09862450000218814,0,0,0,729,1,0,0
34,9by9_cnf/9by9_35.cnf,True,0.14057099999627098,3,4,0,844,10,5,0
35,9by9_cnf/9by9_36.cnf,True,0.14665279999462655,3,2,0,872,6,3,0
36,9by9_cnf/9by9_37.cnf,True,0.11288169999897946,2,1,0,755,4,2,0
37,9by9_cnf/9by9_38.cnf,True,0.11551399999734713,1,0,0,729,2,1,0
38,9by9_cnf/9by9_39.cnf,True,0.09361100000387523,0,0,0,729,1,0,0
39,9by9_cnf/9by9_40.cnf,True,0.13073230000009062,3,4,0,979,9,4,0
40,9by9_cnf/9by9_41.cnf,True,0.1674769000019296,5,1,0,749,7,5,0
41,9by9_cnf/9by9_42.cnf,True,0.1424858000027598,0,0,0,729,1,0,0
42,9by9_cnf/9by9_43.cnf,True,0.11365760000626324,0,0,0,729,1,0,0
43,9by9_cnf/9by9_44.cnf,True,0.12561470000218833,1,1,0,792,3,1,0
44,9by9_cnf/9by9_45.cnf,True,0.15234770000097342,2,1,0,809,4,2,0
45,9by9_cnf/9by9_46.cnf,True,0.30038649999914924,6,18,0,1680,38,19,0
46,9by9_cnf/9by9_47.cnf,True,0.12778970000363188,0,0,0,729,1,0,0
47,9by9_cnf/9by9_48.cnf,True,0.12000760000228183,0,0,0,729,1,0,0
48,9by9_cnf/9by9_49.cnf,True,0.15853960000094958,5,2,0,859,8,5,0
49,9by9_cnf/9by9_50.cnf,True,0.18898629999603145,6,9,0,1064,21,11,0
50,9by9_cnf/9by9_51.cnf,True,0.13246849999995902,0,0,0,729,1,0,0
51,9by9_cnf/9by9_52.cnf,True,0.13583700000162935,0,0,0,729,1,0,0
52,9by9_cnf/9by9_53.cnf,True,0.12927610000042478,4,1,0,811,6,4,0
53,9by9_cnf/9by9_54.cnf,True,0.12186060000385623,0,0,0,729,1,0,0
54,9by9_cnf/9by9_55.cnf,True,0.15560369999730028,4,1,0,779,6,4,0
55,9by9_cnf/9by9_56.cnf,True,0.16738400000031106,7,6,0,1138,15,8,0
56,9by9_cnf/9by9_57.cnf,True,0.10575819999939995,0,0,0,729,1,0,0
57,9by9_cnf/9by9_58.cnf,True,0.11543750000419095,0,0,0,729,1,0,0
58,9by9_cnf/9by9_59.cnf,True,0.14575190000323346,5,5,0,917,13,7,0
59,9by9_cnf/9by9_60.cnf,True,0.19350560000020778,6,4,0,1048,12,7,0
60,9by9_cnf/9by9_61.cnf,True,0.15975630000320962,2,2,0,941,5,2,0
61,9by9_cnf/9by9_62.cnf,True,0.10754100000485778,0,0,0,729,1,0,0
62,9by9_cnf/9by9_63.cnf,True,0.11047980000148527,1,1,0,735,3,1,0
63,9by9_cnf/9by9_64.cnf,True,0.10881309999967925,0,0,0,729,1,0,0
