,filename,solvable,time_elapsed,max_depth,backtracks,solved_literals,n_steps,heuristic_used
0,9by9_cnf/9by9_1.cnf,True,0.07905970000001616,18,13,1000,32,DLCS
1,9by9_cnf/9by9_2.cnf,True,0.055963599999813596,0,0,729,1,DLCS
2,9by9_cnf/9by9_3.cnf,True,0.2480706999999711,56,25,1673,82,DLCS
3,9by9_cnf/9by9_4.cnf,True,0.05028339999989839,0,0,729,1,DLCS
4,9by9_cnf/9by9_5.cnf,True,0.07173009999996793,0,0,729,1,DLCS
5,9by9_cnf/9by9_6.cnf,True,0.2850607000000309,54,65,3014,141,DLCS
6,9by9_cnf/9by9_7.cnf,True,0.04715570000007574,0,0,729,1,DLCS
7,9by9_cnf/9by9_8.cnf,True,0.062372400000185735,0,0,729,1,DLCS
8,9by9_cnf/9by9_9.cnf,True,0.05200550000017756,0,0,729,1,DLCS
9,9by9_cnf/9by9_10.cnf,True,0.1899116999998114,21,18,1426,56,DLCS
10,9by9_cnf/9by9_11.cnf,True,6.875378400000045,92,1729,55953,3469,DLCS
11,9by9_cnf/9by9_12.cnf,True,0.04648250000036569,0,0,729,1,DLCS
12,9by9_cnf/9by9_13.cnf,True,0.09400419999974474,27,10,911,38,DLCS
13,9by9_cnf/9by9_14.cnf,True,0.2400287999998909,49,40,1834,95,DLCS
14,9by9_cnf/9by9_15.cnf,True,0.07957709999982399,24,1,752,26,DLCS
15,9by9_cnf/9by9_16.cnf,True,0.4309046999997008,70,90,3417,197,DLCS
16,9by9_cnf/9by9_17.cnf,True,0.06185079999977461,0,0,729,1,DLCS
17,9by9_cnf/9by9_18.cnf,True,0.06111800000007861,0,0,729,1,DLCS
18,9by9_cnf/9by9_19.cnf,True,0.04652279999982056,0,0,729,1,DLCS
19,9by9_cnf/9by9_20.cnf,True,0.05362889999969411,0,0,729,1,DLCS
20,9by9_cnf/9by9_21.cnf,True,0.05404569999973319,0,0,729,1,DLCS
21,9by9_cnf/9by9_22.cnf,True,0.12097539999967921,21,17,1118,39,DLCS
22,9by9_cnf/9by9_23.cnf,True,0.7484685999997964,59,222,8054,472,DLCS
23,9by9_cnf/9by9_24.cnf,True,0.04764859999977489,0,0,729,1,DLCS
24,9by9_cnf/9by9_25.cnf,True,0.09654709999995248,22,15,1104,38,DLCS
25,9by9_cnf/9by9_26.cnf,True,0.7189232999999149,49,282,10395,571,DLCS
26,9by9_cnf/9by9_27.cnf,True,0.12856590000001233,31,21,1318,53,DLCS
27,9by9_cnf/9by9_28.cnf,True,3.185796200000368,97,769,25411,1589,DLCS
28,9by9_cnf/9by9_29.cnf,True,0.047000800000205345,0,0,729,1,DLCS
29,9by9_cnf/9by9_30.cnf,True,0.05720470000005662,0,0,729,1,DLCS
30,9by9_cnf/9by9_31.cnf,True,0.08494280000013532,20,12,1020,33,DLCS
31,9by9_cnf/9by9_32.cnf,True,0.04753960000016377,0,0,729,1,DLCS
32,9by9_cnf/9by9_33.cnf,True,0.10762660000000324,21,15,1159,37,DLCS
33,9by9_cnf/9by9_34.cnf,True,0.05217179999999644,0,0,729,1,DLCS
34,9by9_cnf/9by9_35.cnf,True,1.1864349000002221,75,359,11894,721,DLCS
35,9by9_cnf/9by9_36.cnf,True,2.753297499999917,90,648,25915,1314,DLCS
36,9by9_cnf/9by9_37.cnf,True,0.05610109999997803,9,5,817,15,DLCS
37,9by9_cnf/9by9_38.cnf,True,0.22482829999989917,44,75,2645,158,DLCS
