,filename,solvable,time_elapsed,max_depth,backtracks,solved_literals,n_steps,heuristic_used
0,9by9_cnf/9by9_1.cnf,True,0.12928409999994983,17,12,965,30,JWOneSide
1,9by9_cnf/9by9_2.cnf,True,0.05847689999973227,0,0,729,1,JWOneSide
2,9by9_cnf/9by9_3.cnf,True,0.4998755000001438,59,86,3325,193,JWOneSide
3,9by9_cnf/9by9_4.cnf,True,0.06846189999987473,0,0,729,1,JWOneSide
4,9by9_cnf/9by9_5.cnf,True,0.08281839999972362,0,0,729,1,JWOneSide
5,9by9_cnf/9by9_6.cnf,True,0.3996334999997089,54,64,2908,140,JWOneSide
6,9by9_cnf/9by9_7.cnf,True,0.06634290000010878,0,0,729,1,JWOneSide
7,9by9_cnf/9by9_8.cnf,True,0.07999880000033954,0,0,729,1,JWOneSide
8,9by9_cnf/9by9_9.cnf,True,0.08681579999984024,0,0,729,1,JWOneSide
9,9by9_cnf/9by9_10.cnf,True,0.8280177999999978,69,170,5698,373,JWOneSide
10,9by9_cnf/9by9_11.cnf,True,5.725244900000234,92,1411,44916,2834,JWOneSide
11,9by9_cnf/9by9_12.cnf,True,0.07477410000001328,0,0,729,1,JWOneSide
12,9by9_cnf/9by9_13.cnf,True,0.15678829999978916,29,13,1062,43,JWOneSide
13,9by9_cnf/9by9_14.cnf,True,0.23850329999959285,33,27,1578,69,JWOneSide
14,9by9_cnf/9by9_15.cnf,True,0.12298610000016197,24,0,729,25,JWOneSide
15,9by9_cnf/9by9_16.cnf,True,0.4407459999997627,70,90,3244,197,JWOneSide
16,9by9_cnf/9by9_17.cnf,True,0.06560459999991508,0,0,729,1,JWOneSide
17,9by9_cnf/9by9_18.cnf,True,0.09948269999995318,0,0,729,1,JWOneSide
18,9by9_cnf/9by9_19.cnf,True,0.05501659999981712,0,0,729,1,JWOneSide
19,9by9_cnf/9by9_20.cnf,True,0.0740192000002935,0,0,729,1,JWOneSide
20,9by9_cnf/9by9_21.cnf,True,0.07418200000029174,0,0,729,1,JWOneSide
21,9by9_cnf/9by9_22.cnf,True,0.12230559999989055,24,20,1210,45,JWOneSide
22,9by9_cnf/9by9_23.cnf,True,0.5813616000000366,58,133,5102,288,JWOneSide
23,9by9_cnf/9by9_24.cnf,True,0.06549469999981739,0,0,729,1,JWOneSide
24,9by9_cnf/9by9_25.cnf,True,0.11367719999998371,23,16,1072,40,JWOneSide
25,9by9_cnf/9by9_26.cnf,True,0.7725657000000865,46,264,9247,535,JWOneSide
26,9by9_cnf/9by9_27.cnf,True,0.15757159999975556,31,21,1381,53,JWOneSide
27,9by9_cnf/9by9_28.cnf,True,0.7138064000000668,92,72,2935,190,JWOneSide
28,9by9_cnf/9by9_29.cnf,True,0.06755609999981971,0,0,729,1,JWOneSide
29,9by9_cnf/9by9_30.cnf,True,0.05662050000000818,0,0,729,1,JWOneSide
30,9by9_cnf/9by9_31.cnf,True,0.08729960000027859,22,14,1014,37,JWOneSide
31,9by9_cnf/9by9_32.cnf,True,0.05349769999975251,0,0,729,1,JWOneSide
32,9by9_cnf/9by9_33.cnf,True,0.11186019999968266,21,16,1288,38,JWOneSide
33,9by9_cnf/9by9_34.cnf,True,0.06201710000004823,0,0,729,1,JWOneSide
34,9by9_cnf/9by9_35.cnf,True,1.0202720000002046,75,266,9628,535,JWOneSide
35,9by9_cnf/9by9_36.cnf,True,3.3717891000001146,87,770,27013,1557,JWOneSide
36,9by9_cnf/9by9_37.cnf,True,0.06573649999972986,7,4,794,12,JWOneSide
37,9by9_cnf/9by9_38.cnf,True,0.2579335999998875,43,84,2746,176,JWOneSide
38,9by9_cnf/9by9_39.cnf,True,0.050519500000064,0,0,729,1,JWOneSide
39,9by9_cnf/9by9_40.cnf,True,0.1254331000000093,30,29,1655,60,JWOneSide
40,9by9_cnf/9by9_41.cnf,True,11.836358000000018,94,2815,84844,5652,JWOneSide
41,9by9_cnf/9by9_42.cnf,True,0.06085860000030152,0,0,729,1,JWOneSide
42,9by9_cnf/9by9_43.cnf,True,0.06165300000020579,0,0,729,1,JWOneSide
43,9by9_cnf/9by9_44.cnf,True,0.1465954000000238,38,28,1587,67,JWOneSide
44,9by9_cnf/9by9_45.cnf,True,0.4175718000001325,49,96,3541,214,JWOneSide
45,9by9_cnf/9by9_46.cnf,True,0.9728768999998465,75,258,7203,534,JWOneSide
46,9by9_cnf/9by9_47.cnf,True,0.05438820000017586,0,0,729,1,JWOneSide
47,9by9_cnf/9by9_48.cnf,True,0.048814999999649444,0,0,729,1,JWOneSide
48,9by9_cnf/9by9_49.cnf,True,1.6333851999997933,72,410,14963,836,JWOneSide
49,9by9_cnf/9by9_50.cnf,True,0.42013919999999416,64,98,3310,213,JWOneSide
50,9by9_cnf/9by9_51.cnf,True,0.07513529999960156,0,0,729,1,JWOneSide
51,9by9_cnf/9by9_52.cnf,True,0.04785799999990559,0,0,729,1,JWOneSide
52,9by9_cnf/9by9_53.cnf,True,0.16352249999999913,34,25,1585,60,JWOneSide
53,9by9_cnf/9by9_54.cnf,True,0.04570860000012544,0,0,729,1,JWOneSide
54,9by9_cnf/9by9_55.cnf,True,0.3972116999998434,69,81,3185,177,JWOneSide
55,9by9_cnf/9by9_56.cnf,True,0.3047894000001179,68,27,1374,96,JWOneSide
56,9by9_cnf/9by9_57.cnf,True,0.04781559999992169,0,0,729,1,JWOneSide
57,9by9_cnf/9by9_58.cnf,True,0.0555541999997331,0,0,729,1,JWOneSide
58,9by9_cnf/9by9_59.cnf,True,0.4059317999999621,74,58,2482,167,JWOneSide
59,9by9_cnf/9by9_60.cnf,True,1.2411145000000943,96,277,7422,572,JWOneSide
60,9by9_cnf/9by9_61.cnf,True,3.394264699999894,81,857,27637,1718,JWOneSide
61,9by9_cnf/9by9_62.cnf,True,0.04255620000003546,0,0,729,1,JWOneSide
62,9by9_cnf/9by9_63.cnf,True,0.08563989999993282,18,10,970,29,JWOneSide
63,9by9_cnf/9by9_64.cnf,True,0.04948659999990923,0,0,729,1,JWOneSide
64,9by9_cnf/9by9_65.cnf,True,0.058724700000311714,0,0,729,1,JWOneSide
65,9by9_cnf/9by9_66.cnf,True,0.2809723000000304,52,44,2422,122,JWOneSide
66,9by9_cnf/9by9_67.cnf,True,0.044128600000021834,0,0,729,1,JWOneSide
67,9by9_cnf/9by9_68.cnf,True,0.5374149000003854,54,141,4949,308,JWOneSide
68,9by9_cnf/9by9_69.cnf,True,0.05743499999971391,0,0,729,1,JWOneSide
69,9by9_cnf/9by9_70.cnf,True,0.04476969999996072,0,0,729,1,JWOneSide
70,9by9_cnf/9by9_71.cnf,True,1.394475500000226,93,322,8826,675,JWOneSide
71,9by9_cnf/9by9_72.cnf,True,0.20682950000036726,47,37,1657,93,JWOneSide
72,9by9_cnf/9by9_73.cnf,True,0.14254189999974187,42,31,1744,83,JWOneSide
73,9by9_cnf/9by9_74.cnf,True,2.961766300000363,71,873,27082,1763,JWOneSide
74,9by9_cnf/9by9_75.cnf,True,0.056145399999877554,0,0,729,1,JWOneSide
75,9by9_cnf/9by9_76.cnf,True,0.0551581000004262,0,0,729,1,JWOneSide
76,9by9_cnf/9by9_77.cnf,True,0.05915080000022499,0,0,729,1,JWOneSide
77,9by9_cnf/9by9_78.cnf,True,0.051086800000121,0,0,729,1,JWOneSide
78,9by9_cnf/9by9_79.cnf,True,0.4824926000001142,66,122,3966,275,JWOneSide
79,9by9_cnf/9by9_80.cnf,True,0.09646720000000641,25,10,992,36,JWOneSide
80,9by9_cnf/9by9_81.cnf,True,0.794016400000146,74,172,6827,369,JWOneSide
81,9by9_cnf/9by9_82.cnf,True,0.816023800000039,67,195,6650,426,JWOneSide
82,9by9_cnf/9by9_83.cnf,True,0.050128899999890564,0,0,729,1,JWOneSide
83,9by9_cnf/9by9_84.cnf,True,0.5592078999998193,65,152,5052,326,JWOneSide
84,9by9_cnf/9by9_85.cnf,True,0.06884500000023763,0,0,729,1,JWOneSide
85,9by9_cnf/9by9_86.cnf,True,0.08212100000037026,21,16,1158,38,JWOneSide
86,9by9_cnf/9by9_87.cnf,True,0.05619539999997869,11,11,995,23,JWOneSide
87,9by9_cnf/9by9_88.cnf,True,0.04626979999966352,0,0,729,1,JWOneSide
88,9by9_cnf/9by9_89.cnf,True,0.08386079999991125,10,0,729,11,JWOneSide
89,9by9_cnf/9by9_90.cnf,True,0.14520719999973153,30,9,998,40,JWOneSide
90,9by9_cnf/9by9_91.cnf,True,0.3655112999999801,47,92,3683,203,JWOneSide
91,9by9_cnf/9by9_92.cnf,True,0.21914319999996223,53,45,2339,99,JWOneSide
92,9by9_cnf/9by9_93.cnf,True,0.6827428000001419,75,149,4154,306,JWOneSide
93,9by9_cnf/9by9_94.cnf,True,0.04630589999987933,0,0,729,1,JWOneSide
94,9by9_cnf/9by9_95.cnf,True,0.053687300000092364,0,0,729,1,JWOneSide
95,9by9_cnf/9by9_96.cnf,True,0.4803874999997788,54,154,6099,312,JWOneSide
96,9by9_cnf/9by9_97.cnf,True,0.07916869999962728,18,9,1010,28,JWOneSide
97,9by9_cnf/9by9_98.cnf,True,0.1425677000001997,48,28,1524,77,JWOneSide
98,9by9_cnf/9by9_99.cnf,True,0.272653900000023,60,58,2552,130,JWOneSide
99,9by9_cnf/9by9_100.cnf,True,0.054651599999942846,0,0,729,1,JWOneSide
100,9by9_cnf/9by9_101.cnf,True,0.049449600000116334,0,0,729,1,JWOneSide
101,9by9_cnf/9by9_102.cnf,True,0.05430300000034549,0,0,729,1,JWOneSide
102,9by9_cnf/9by9_103.cnf,True,0.3026241000002301,53,52,2291,120,JWOneSide
103,9by9_cnf/9by9_104.cnf,True,0.21838160000015705,42,31,1552,74,JWOneSide
104,9by9_cnf/9by9_105.cnf,True,0.05635919999986072,0,0,729,1,JWOneSide
105,9by9_cnf/9by9_106.cnf,True,0.060306800000034855,0,0,729,1,JWOneSide
106,9by9_cnf/9by9_107.cnf,True,0.07676829999991241,0,0,729,1,JWOneSide
107,9by9_cnf/9by9_108.cnf,True,3.5257950999998684,80,886,26282,1791,JWOneSide
108,9by9_cnf/9by9_109.cnf,True,4.749523399999816,96,1037,32133,2096,JWOneSide
109,9by9_cnf/9by9_110.cnf,True,0.04806030000008832,0,0,729,1,JWOneSide
110,9by9_cnf/9by9_111.cnf,True,0.09198800000012852,24,9,888,34,JWOneSide
111,9by9_cnf/9by9_112.cnf,True,0.06233139999994819,0,0,729,1,JWOneSide
112,9by9_cnf/9by9_113.cnf,True,0.9666176999999152,62,224,7928,455,JWOneSide
113,9by9_cnf/9by9_114.cnf,True,0.06091969999988578,0,0,729,1,JWOneSide
114,9by9_cnf/9by9_115.cnf,True,0.5468119000001934,57,141,4316,286,JWOneSide
115,9by9_cnf/9by9_116.cnf,True,0.07783130000007077,11,4,816,16,JWOneSide
116,9by9_cnf/9by9_117.cnf,True,0.07787019999977929,18,16,1097,35,JWOneSide
117,9by9_cnf/9by9_118.cnf,True,0.04724029999988488,0,0,729,1,JWOneSide
118,9by9_cnf/9by9_119.cnf,True,0.09239069999966887,20,18,1390,39,JWOneSide
119,9by9_cnf/9by9_120.cnf,True,0.1663775999995778,42,49,1981,104,JWOneSide
120,9by9_cnf/9by9_121.cnf,True,0.17200809999985722,35,33,1731,69,JWOneSide
121,9by9_cnf/9by9_122.cnf,True,0.6810461000000032,75,117,4768,260,JWOneSide
122,9by9_cnf/9by9_123.cnf,True,3.4853650000000016,93,746,20479,1513,JWOneSide
123,9by9_cnf/9by9_124.cnf,True,0.18721279999999751,27,19,1401,47,JWOneSide
124,9by9_cnf/9by9_125.cnf,True,0.9073377999998229,69,192,7604,391,JWOneSide
125,9by9_cnf/9by9_126.cnf,True,1.6882258000000547,82,318,11356,673,JWOneSide
126,9by9_cnf/9by9_127.cnf,True,0.05067209999970146,0,0,729,1,JWOneSide
127,9by9_cnf/9by9_128.cnf,True,0.37842300000011164,52,67,2915,151,JWOneSide
128,9by9_cnf/9by9_129.cnf,True,0.32369370000014897,49,65,3062,139,JWOneSide
129,9by9_cnf/9by9_130.cnf,True,0.965857700000015,63,197,7369,414,JWOneSide
130,9by9_cnf/9by9_131.cnf,True,0.1311556999999084,25,22,1232,54,JWOneSide
131,9by9_cnf/9by9_132.cnf,True,0.29892830000017057,46,58,2733,119,JWOneSide
132,9by9_cnf/9by9_133.cnf,True,0.104800300000079,24,12,1026,37,JWOneSide
133,9by9_cnf/9by9_134.cnf,True,0.7661920999998983,65,185,6034,376,JWOneSide
134,9by9_cnf/9by9_135.cnf,True,0.04546299999992698,0,0,729,1,JWOneSide
135,9by9_cnf/9by9_136.cnf,True,0.051745499999924505,0,0,729,1,JWOneSide
136,9by9_cnf/9by9_137.cnf,True,0.21421400000008362,34,28,1477,65,JWOneSide
137,9by9_cnf/9by9_138.cnf,True,0.06901789999983521,0,0,729,1,JWOneSide
138,9by9_cnf/9by9_139.cnf,True,0.14632570000003398,31,22,1381,54,JWOneSide
139,9by9_cnf/9by9_140.cnf,True,0.2647868000003655,39,48,2315,113,JWOneSide
140,9by9_cnf/9by9_141.cnf,True,0.22430759999997463,29,47,1969,97,JWOneSide
141,9by9_cnf/9by9_142.cnf,True,1.0730935999999929,83,229,8276,491,JWOneSide
142,9by9_cnf/9by9_143.cnf,True,0.11829970000007961,25,0,729,26,JWOneSide
143,9by9_cnf/9by9_144.cnf,True,0.20365799999990486,40,49,2087,106,JWOneSide
144,9by9_cnf/9by9_145.cnf,True,0.04497449999962555,0,0,729,1,JWOneSide
145,9by9_cnf/9by9_146.cnf,True,0.6168369000001803,58,161,6630,331,JWOneSide
146,9by9_cnf/9by9_147.cnf,True,0.05425199999990582,0,0,729,1,JWOneSide
147,9by9_cnf/9by9_148.cnf,True,2.216408700000102,75,596,18000,1203,JWOneSide
148,9by9_cnf/9by9_149.cnf,True,0.488033600000108,61,106,4369,226,JWOneSide
149,9by9_cnf/9by9_150.cnf,True,0.066123399999924,0,0,729,1,JWOneSide
150,9by9_cnf/9by9_151.cnf,True,0.04508510000005117,0,0,729,1,JWOneSide
151,9by9_cnf/9by9_152.cnf,True,0.24097160000019358,56,41,2096,98,JWOneSide
152,9by9_cnf/9by9_153.cnf,True,0.12609369999972841,41,18,1230,60,JWOneSide
153,9by9_cnf/9by9_154.cnf,True,0.7158329000003505,59,154,5813,329,JWOneSide
154,9by9_cnf/9by9_155.cnf,True,0.05091480000010051,6,3,788,10,JWOneSide
155,9by9_cnf/9by9_156.cnf,True,0.06266400000004069,0,0,729,1,JWOneSide
156,9by9_cnf/9by9_157.cnf,True,0.8860972000002221,66,189,6140,386,JWOneSide
157,9by9_cnf/9by9_158.cnf,True,1.2718878000000586,70,338,10945,679,JWOneSide
158,9by9_cnf/9by9_159.cnf,True,0.49320650000026944,52,121,4942,258,JWOneSide
159,9by9_cnf/9by9_160.cnf,True,0.06396700000004785,0,0,729,1,JWOneSide
160,9by9_cnf/9by9_161.cnf,True,0.05528610000010303,0,0,729,1,JWOneSide
161,9by9_cnf/9by9_162.cnf,True,0.05701389999967432,0,0,729,1,JWOneSide
162,9by9_cnf/9by9_163.cnf,True,0.04743749999988722,0,0,729,1,JWOneSide
163,9by9_cnf/9by9_164.cnf,True,2.220927500000016,69,615,18134,1251,JWOneSide
164,9by9_cnf/9by9_165.cnf,True,0.0568039999998291,0,0,729,1,JWOneSide
165,9by9_cnf/9by9_166.cnf,True,0.26484560000017154,52,57,2568,126,JWOneSide
166,9by9_cnf/9by9_167.cnf,True,0.3266177999998945,60,61,2753,128,JWOneSide
167,9by9_cnf/9by9_168.cnf,True,0.10643860000027416,28,28,1490,57,JWOneSide
168,9by9_cnf/9by9_169.cnf,True,1.2518463000001248,81,286,12181,590,JWOneSide
169,9by9_cnf/9by9_170.cnf,True,0.05163609999999608,0,0,729,1,JWOneSide
170,9by9_cnf/9by9_171.cnf,True,0.050292200000058074,0,0,729,1,JWOneSide
171,9by9_cnf/9by9_172.cnf,True,0.7302998000000116,61,225,8299,460,JWOneSide
172,9by9_cnf/9by9_173.cnf,True,0.2987450999999055,51,80,3234,176,JWOneSide
173,9by9_cnf/9by9_174.cnf,True,0.0479073999999855,0,0,729,1,JWOneSide
174,9by9_cnf/9by9_175.cnf,True,0.29419229999984964,59,51,2198,130,JWOneSide
175,9by9_cnf/9by9_176.cnf,True,0.09778000000005704,27,30,1526,63,JWOneSide
176,9by9_cnf/9by9_177.cnf,True,0.09361899999976231,20,11,958,32,JWOneSide
177,9by9_cnf/9by9_178.cnf,True,0.26769960000001447,56,64,2738,138,JWOneSide
178,9by9_cnf/9by9_179.cnf,True,0.51297169999998,71,110,4374,232,JWOneSide
179,9by9_cnf/9by9_180.cnf,True,0.04762269999991986,0,0,729,1,JWOneSide
180,9by9_cnf/9by9_181.cnf,True,0.09055430000034903,28,13,1038,42,JWOneSide
181,9by9_cnf/9by9_182.cnf,True,5.278358999999909,88,1339,41577,2683,JWOneSide
182,9by9_cnf/9by9_183.cnf,True,0.06774260000020149,0,0,729,1,JWOneSide
183,9by9_cnf/9by9_184.cnf,True,0.054090999999971245,0,0,729,1,JWOneSide
184,9by9_cnf/9by9_185.cnf,True,0.04560059999994337,0,0,729,1,JWOneSide
185,9by9_cnf/9by9_186.cnf,True,0.24407130000008692,54,42,1970,120,JWOneSide
186,9by9_cnf/9by9_187.cnf,True,0.06318899999996574,0,0,729,1,JWOneSide
187,9by9_cnf/9by9_188.cnf,True,0.13647629999968558,28,30,1414,66,JWOneSide
188,9by9_cnf/9by9_189.cnf,True,0.06594510000013543,0,0,729,1,JWOneSide
189,9by9_cnf/9by9_190.cnf,True,0.2917585999998664,50,88,3272,178,JWOneSide
190,9by9_cnf/9by9_191.cnf,True,7.461013900000125,92,1902,60578,3824,JWOneSide
191,9by9_cnf/9by9_192.cnf,True,0.19883430000027147,34,54,1999,115,JWOneSide
192,9by9_cnf/9by9_193.cnf,True,0.1396340000001146,26,18,1146,56,JWOneSide
193,9by9_cnf/9by9_194.cnf,True,0.11659479999980249,34,14,967,49,JWOneSide
194,9by9_cnf/9by9_195.cnf,True,0.19525120000025709,41,55,2598,118,JWOneSide
195,9by9_cnf/9by9_196.cnf,True,0.0503060999999434,0,0,729,1,JWOneSide
196,9by9_cnf/9by9_197.cnf,True,0.07493789999989531,15,9,996,25,JWOneSide
197,9by9_cnf/9by9_198.cnf,True,0.793087700000342,70,217,7471,445,JWOneSide
198,9by9_cnf/9by9_199.cnf,True,1.1816335000003164,74,338,11411,692,JWOneSide
199,9by9_cnf/9by9_200.cnf,True,1.4533612999998695,83,312,12396,644,JWOneSide
200,9by9_cnf/9by9_201.cnf,True,0.0575303000000531,0,0,729,1,JWOneSide
201,9by9_cnf/9by9_202.cnf,True,0.05044359999965309,0,0,729,1,JWOneSide
202,9by9_cnf/9by9_203.cnf,True,0.1777988000003461,51,28,1472,80,JWOneSide
203,9by9_cnf/9by9_204.cnf,True,0.056335199999921315,0,0,729,1,JWOneSide
204,9by9_cnf/9by9_205.cnf,True,0.06512930000008055,10,7,882,18,JWOneSide
205,9by9_cnf/9by9_206.cnf,True,0.24759229999972376,49,40,1644,97,JWOneSide
206,9by9_cnf/9by9_207.cnf,True,0.12797339999997348,40,19,1205,60,JWOneSide
207,9by9_cnf/9by9_208.cnf,True,0.6035876000000826,77,124,4692,275,JWOneSide
208,9by9_cnf/9by9_209.cnf,True,0.09919769999987693,24,18,1296,43,JWOneSide
209,9by9_cnf/9by9_210.cnf,True,0.13228149999986272,25,29,1548,63,JWOneSide
210,9by9_cnf/9by9_211.cnf,True,0.042799400000149035,0,0,729,1,JWOneSide
211,9by9_cnf/9by9_212.cnf,True,0.768181999999797,66,183,7747,374,JWOneSide
212,9by9_cnf/9by9_213.cnf,True,0.11474429999998392,20,24,1159,59,JWOneSide
213,9by9_cnf/9by9_214.cnf,True,0.1768088000003445,39,52,2434,106,JWOneSide
214,9by9_cnf/9by9_215.cnf,True,0.16907019999962358,42,56,2605,122,JWOneSide
215,9by9_cnf/9by9_216.cnf,True,2.3920413000000735,86,615,18853,1249,JWOneSide
216,9by9_cnf/9by9_217.cnf,True,0.24463029999969876,44,77,2845,170,JWOneSide
217,9by9_cnf/9by9_218.cnf,True,0.05706430000009277,0,0,729,1,JWOneSide
218,9by9_cnf/9by9_219.cnf,True,0.050909199999750854,0,0,729,1,JWOneSide
219,9by9_cnf/9by9_220.cnf,True,0.260545799999818,44,103,3725,217,JWOneSide
220,9by9_cnf/9by9_221.cnf,True,2.208335799999986,80,602,18659,1221,JWOneSide
221,9by9_cnf/9by9_222.cnf,True,0.0453773999997793,0,0,729,1,JWOneSide
222,9by9_cnf/9by9_223.cnf,True,0.06360549999999421,0,0,729,1,JWOneSide
223,9by9_cnf/9by9_224.cnf,True,0.11152919999994992,19,11,867,31,JWOneSide
224,9by9_cnf/9by9_225.cnf,True,0.0483235000001514,0,0,729,1,JWOneSide
225,9by9_cnf/9by9_226.cnf,True,0.0968683000000965,29,17,1245,47,JWOneSide
