,filename,solvable,time_elapsed,max_depth,backtracks,solved_literals,n_steps,heuristic_used
0,9by9_cnf/9by9_1.cnf,True,0.09314929999982269,1,1,765,3,Rand
1,9by9_cnf/9by9_2.cnf,True,0.08829860000014378,0,0,729,1,Rand
2,9by9_cnf/9by9_3.cnf,True,0.15887599999996382,8,15,1527,33,Rand
3,9by9_cnf/9by9_4.cnf,True,0.054219799999827956,0,0,729,1,Rand
4,9by9_cnf/9by9_5.cnf,True,0.08105299999988347,0,0,729,1,Rand
5,9by9_cnf/9by9_6.cnf,True,0.07085790000019188,1,0,729,2,Rand
6,9by9_cnf/9by9_7.cnf,True,0.07003520000034769,0,0,729,1,Rand
7,9by9_cnf/9by9_8.cnf,True,0.05366060000005746,0,0,729,1,Rand
8,9by9_cnf/9by9_9.cnf,True,0.05524149999973815,0,0,729,1,Rand
9,9by9_cnf/9by9_10.cnf,True,0.10266929999988861,3,5,1279,11,Rand
10,9by9_cnf/9by9_11.cnf,True,0.055879600000025675,2,1,757,4,Rand
11,9by9_cnf/9by9_12.cnf,True,0.04389249999985623,0,0,729,1,Rand
12,9by9_cnf/9by9_13.cnf,True,0.04480769999963741,1,0,729,2,Rand
13,9by9_cnf/9by9_14.cnf,True,0.05850909999981013,4,3,819,8,Rand
14,9by9_cnf/9by9_15.cnf,True,0.07794130000002042,4,4,960,9,Rand
15,9by9_cnf/9by9_16.cnf,True,0.10558110000010856,5,9,1408,21,Rand
16,9by9_cnf/9by9_17.cnf,True,0.05417539999962173,0,0,729,1,Rand
17,9by9_cnf/9by9_18.cnf,True,0.07303979999960575,0,0,729,1,Rand
18,9by9_cnf/9by9_19.cnf,True,0.0467436999997517,0,0,729,1,Rand
19,9by9_cnf/9by9_20.cnf,True,0.06196410000029573,0,0,729,1,Rand
20,9by9_cnf/9by9_21.cnf,True,0.0729897000001074,0,0,729,1,Rand
21,9by9_cnf/9by9_22.cnf,True,0.08737029999974766,4,3,854,8,Rand
22,9by9_cnf/9by9_23.cnf,True,0.0953801000000567,2,0,729,3,Rand
23,9by9_cnf/9by9_24.cnf,True,0.06583499999987907,0,0,729,1,Rand
24,9by9_cnf/9by9_25.cnf,True,0.04856699999982084,2,2,747,5,Rand
25,9by9_cnf/9by9_26.cnf,True,0.054938100000072154,2,2,890,5,Rand
26,9by9_cnf/9by9_27.cnf,True,0.07019370000034542,1,1,771,3,Rand
27,9by9_cnf/9by9_28.cnf,True,0.19321399999989808,9,14,1510,32,Rand
